ZP, 80, 181
ES, 56, 146
RF, 71, 162
LJ, 92, 186
QA, 78, 156
VL, 80, 169
SD, 66, 186
LD, 48, 178
AZ, 99, 186
SO, 64, 197
ZR, 57, 144
RN, 56, 192
NL, 85, 151
JY, 72, 190
AJ, 83, 179
LC, 48, 147
ZI, 88, 185
XC, 91, 162
VG, 52, 155
IF, 88, 149
BI, 48, 142
HK, 51, 186
LT, 53, 162
II, 88, 158
AS, 63, 160
LO, 98, 190
BJ, 66, 165
WL, 95, 149
VM, 82, 190
NY, 67, 141
PR, 93, 162
XM, 84, 177
TE, 54, 162
GS, 66, 166
RQ, 72, 186
UX, 46, 179
HA, 58, 157
QO, 49, 174
TP, 87, 147
TD, 78, 190
BR, 98, 167
VE, 76, 164
CH, 61, 147
OX, 56, 159
IQ, 92, 148
ZJ, 97, 186
BJ, 61, 180
UG, 84, 156
NH, 76, 190
ZE, 94, 144
FT, 68, 194
NP, 42, 152
NZ, 95, 142
MS, 47, 187
YD, 63, 154
OP, 85, 195
JZ, 62, 189
RM, 53, 140
DW, 93, 173
MZ, 96, 156
VP, 49, 181
XA, 88, 150
EP, 78, 164
CO, 63, 144
LK, 92, 152
EL, 97, 164
MF, 88, 199
FX, 72, 160
TK, 98, 167
ET, 63, 173
HM, 72, 171
QL, 57, 172
MA, 40, 169
IU, 76, 159
VV, 91, 168
EI, 65, 149
RF, 52, 146
GJ, 88, 182
PI, 43, 141
FF, 42, 188
HL, 72, 153
RM, 47, 175
UY, 68, 190
RX, 97, 150
JQ, 69, 152
XT, 79, 195
OY, 94, 184
AW, 97, 165
NU, 95, 140
NA, 83, 188
BT, 88, 168
DH, 48, 148
HA, 76, 151
SZ, 55, 193
XE, 53, 153
UU, 65, 177
XX, 63, 199
RO, 48, 143
HQ, 69, 167
CN, 41, 146
BQ, 71, 142
RE, 48, 198
VM, 87, 156
EO, 66, 177
LI, 46, 197
AN, 65, 141
RE, 64, 174
NV, 52, 143
WS, 84, 185
BL, 70, 191
QB, 70, 174
ES, 53, 197
WS, 96, 180
IJ, 65, 196
YN, 87, 148
MT, 82, 198
VG, 97, 156
CG, 81, 180
RB, 77, 151
QN, 79, 174
BU, 43, 163
IW, 57, 150
WS, 48, 187
LA, 61, 145
XG, 69, 166
FU, 44, 194
AR, 77, 193
OZ, 49, 189
MI, 78, 174
YV, 62, 157
MW, 74, 183
EP, 67, 190
QP, 58, 155
UX, 43, 184
CC, 78, 171
BV, 42, 199
TL, 95, 196
ZJ, 42, 161
CB, 45, 180
PY, 57, 177
VL, 58, 159
HN, 96, 197
HC, 77, 191
OB, 81, 197
CO, 75, 156
JY, 74, 145
FT, 54, 165
PI, 48, 154
JT, 42, 157
KE, 45, 164
BY, 68, 170
EV, 53, 166
KE, 91, 173
BV, 68, 168
YP, 64, 190
EQ, 80, 197
BT, 89, 162
CA, 73, 163
OV, 41, 199
WP, 52, 171
FR, 63, 185
BG, 61, 165
XH, 98, 154
PR, 83, 171
CI, 96, 190
MW, 57, 184
SZ, 58, 187
NE, 75, 195
QK, 73, 170
OK, 61, 190
NO, 83, 140
AR, 46, 170
MV, 59, 191
TT, 84, 180
DC, 52, 140
CZ, 55, 145
NF, 74, 170
MH, 68, 197
NW, 77, 140
LB, 79, 152
PS, 85, 169
AZ, 43, 157
SO, 59, 188
NE, 79, 180
UM, 47, 189
DJ, 67, 192
CI, 62, 196
AF, 65, 173
HZ, 43, 144
EE, 53, 172
ND, 59, 154
KV, 62, 196
OW, 44, 199
RA, 50, 168
VZ, 61, 140
EC, 94, 185
UC, 79, 154
TQ, 75, 181
LH, 83, 171
JX, 81, 155
UD, 81, 143
XN, 87, 153
JJ, 49, 187
DC, 99, 146
TE, 85, 192
SO, 77, 153
WZ, 82, 176
IQ, 41, 171
ZC, 56, 145
TK, 99, 162
HD, 66, 188
RX, 61, 150
EJ, 94, 146
QL, 75, 185
RL, 51, 144
IG, 74, 163
OB, 56, 170
PF, 61, 180
IM, 54, 183
XO, 46, 170
VO, 40, 199
ZI, 50, 187
IP, 92, 169
VT, 49, 171
OV, 52, 150
